Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-02-22,2016,2,22,Monday,08,2016-08,193.87,194.95,193.79,194.78,103640300,175.7,0.014479113922879705,170.62142857142857,175.85440000000003
2016-02-23,2016,2,23,Tuesday,08,2016-08,194.0,194.32,192.18,192.32,111455300,173.48,-0.012629650563137695,170.7607142857143,175.6414
2016-02-24,2016,2,24,Wednesday,08,2016-08,190.63,193.53,189.32,193.2,150812200,174.27,0.0045756927023150595,170.88285714285715,175.4348
2016-02-25,2016,2,25,Thursday,08,2016-08,193.73,195.55,192.83,195.54,110728300,176.38,0.012111800970316944,171.13642857142858,175.342
2016-02-26,2016,2,26,Friday,08,2016-08,196.57,196.68,194.9,195.09,129833700,175.98,-0.0023012561531415843,171.5964285714286,175.22279999999998
2016-02-29,2016,2,29,Monday,09,2016-09,195.11,196.23,193.33,193.56,125918100,174.6,-0.007842543548635228,172.1214285714286,175.03779999999998
2016-03-01,2016,3,1,Tuesday,09,2016-09,195.01,198.21,194.45,198.11,141799700,178.7,0.02350682887659228,172.9385714285714,174.88100000000003
2016-03-02,2016,3,2,Wednesday,09,2016-09,197.74,199.06,197.25,199.0,102415000,179.5,0.004492597895496164,173.82285714285715,174.797
2016-03-03,2016,3,3,Thursday,09,2016-09,198.79,199.8,198.11,199.78,95172200,180.21,0.003919455812105399,174.91357142857143,174.7928
2016-03-04,2016,3,4,Friday,09,2016-09,200.01,201.35,199.03,200.43,129293600,180.79,0.003253517828048169,175.80285714285714,174.7704
2016-03-07,2016,3,7,Monday,10,2016-10,199.34,201.07,199.25,200.59,100219000,180.94,0.000798503765484071,176.4992857142857,174.71800000000002
2016-03-08,2016,3,8,Tuesday,10,2016-10,199.32,199.92,198.21,198.4,123974900,178.96,-0.010917895801025312,176.855,174.5806
2016-03-09,2016,3,9,Wednesday,10,2016-10,199.36,199.79,198.43,199.38,94801200,179.85,0.004939545077217611,177.325,174.467
2016-03-10,2016,3,10,Thursday,10,2016-10,199.96,201.07,197.38,199.54,156838700,179.99,0.0008023694546084315,177.81071428571428,174.3648
2016-03-11,2016,3,11,Friday,10,2016-10,201.26,202.81,199.52,202.76,137964500,182.89,0.01613710238171251,178.3242857142857,174.28099999999998
2016-03-14,2016,3,14,Monday,11,2016-11,202.16,203.04,201.77,202.5,73612000,182.66,-0.0012822301209696185,178.98,174.21919999999997
2016-03-15,2016,3,15,Tuesday,11,2016-11,201.36,202.53,201.05,202.17,93169100,182.36,-0.001629551426853726,179.55785714285713,174.1884
2016-03-16,2016,3,16,Wednesday,11,2016-11,201.6,203.82,201.55,203.34,129303200,183.42,0.005787082747342742,180.06071428571428,174.2304
2016-03-17,2016,3,17,Thursday,11,2016-11,203.24,205.23,202.77,204.63,134278500,184.58,0.00634411317061323,180.67499999999998,174.2894
2016-03-18,2016,3,18,Friday,11,2016-11,204.17,204.78,203.8,204.38,138372400,185.31,0.003929751384965208,181.44,174.40879999999999
2016-03-21,2016,3,21,Monday,12,2016-12,204.07,204.94,203.8,204.67,72926700,185.57,0.0014188629975828704,181.9307142857143,174.61939999999998
2016-03-22,2016,3,22,Tuesday,12,2016-12,203.76,205.23,203.57,204.56,97471900,185.47,-0.0005375998379142377,182.35714285714286,174.8664
2016-03-23,2016,3,23,Wednesday,12,2016-12,204.11,204.33,203.01,203.21,81052500,184.25,-0.006599383097747102,182.6457142857143,175.0856
2016-03-24,2016,3,24,Thursday,12,2016-12,202.0,203.16,201.74,203.12,84360900,184.16,-0.0004426607713693409,182.88642857142855,175.275
2016-03-28,2016,3,28,Monday,13,2016-13,203.61,203.86,202.71,203.24,62408200,184.27,0.0005905033604090004,183.1242857142857,175.55380000000002
2016-03-29,2016,3,29,Tuesday,13,2016-13,202.76,205.25,202.4,205.12,92922900,185.98,0.00924995514011484,183.62571428571428,175.81080000000003
2016-03-30,2016,3,30,Wednesday,13,2016-13,206.3,206.87,205.59,206.02,86365300,186.79,0.004387933310568082,184.12142857142857,176.1584
2016-03-31,2016,3,31,Thursday,13,2016-13,205.91,206.41,205.33,205.52,94584100,186.34,-0.0024267912922728563,184.575,176.49259999999998
