Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-02-01,2016,2,1,Monday,05,2016-05,88.19,90.32,87.95,89.36,2463200,78.51,0.014186705803766131,74.91642857142857,76.35900000000001
2016-02-02,2016,2,2,Tuesday,05,2016-05,88.47,89.93,88.14,89.5,2242800,78.64,0.0015666351985672566,75.19857142857143,76.44279999999999
2016-02-03,2016,2,3,Wednesday,05,2016-05,89.43,89.84,88.51,88.78,1696400,78.0,-0.008044655619834584,75.52357142857143,76.5178
2016-02-04,2016,2,4,Thursday,05,2016-05,88.72,89.64,88.2,88.64,1343100,77.88,-0.0015768700684297698,75.7792857142857,76.5992
2016-02-05,2016,2,5,Friday,05,2016-05,88.89,89.4,87.4,87.7,1227000,77.05,-0.010604893509741253,76.05357142857143,76.6352
2016-02-08,2016,2,8,Monday,06,2016-06,87.45,90.41,87.38,90.01,2284500,79.08,0.026340253523009505,76.39214285714286,76.6964
2016-02-09,2016,2,9,Tuesday,06,2016-06,89.05,90.35,88.36,89.82,1872300,78.92,-0.0021111930372691434,76.69571428571429,76.74759999999999
2016-02-10,2016,2,10,Wednesday,06,2016-06,89.82,91.33,89.54,89.75,1084800,78.86,-0.0007794026558276546,77.01571428571428,76.79599999999999
2016-02-11,2016,2,11,Thursday,06,2016-06,89.02,89.1,87.92,88.49,1356100,77.75,-0.014038836245859887,77.2192857142857,76.8344
2016-02-12,2016,2,12,Friday,06,2016-06,88.99,89.87,88.77,89.7,1080300,78.81,0.013673802125574896,77.59142857142857,76.90599999999999
2016-02-16,2016,2,16,Tuesday,07,2016-07,90.0,90.56,89.05,90.39,1013600,79.42,0.007692642787996196,77.925,76.997
2016-02-17,2016,2,17,Wednesday,07,2016-07,90.59,92.47,90.39,91.61,1506100,80.49,0.013496562983784433,78.37571428571428,77.1208
2016-02-18,2016,2,18,Thursday,07,2016-07,91.41,91.41,90.01,90.49,1111400,79.51,-0.012225737033809692,78.595,77.191
2016-02-19,2016,2,19,Friday,07,2016-07,90.58,91.44,90.14,91.03,1182000,79.98,0.005967387315737094,78.77857142857142,77.2594
2016-02-22,2016,2,22,Monday,08,2016-08,91.75,91.75,90.01,90.35,1004400,79.38,-0.007469788218478324,78.84071428571428,77.3032
2016-02-23,2016,2,23,Tuesday,08,2016-08,89.73,90.32,88.93,89.91,1126200,79.51,0.0015931985597108511,78.90285714285714,77.3714
2016-02-24,2016,2,24,Wednesday,08,2016-08,89.64,90.93,89.36,90.67,1116600,80.18,0.008452773092987531,79.05857142857144,77.45020000000001
2016-02-25,2016,2,25,Thursday,08,2016-08,90.66,91.96,90.18,91.94,860800,81.3,0.014006916775092249,79.30285714285715,77.5398
2016-02-26,2016,2,26,Friday,08,2016-08,92.0,92.0,90.25,90.62,792800,80.14,-0.014357314928184373,79.52357142857143,77.5626
2016-02-29,2016,2,29,Monday,09,2016-09,90.49,91.71,90.29,90.89,1052700,80.38,0.0029794189223899537,79.61642857142859,77.6002
2016-03-01,2016,3,1,Tuesday,09,2016-09,91.71,92.31,91.42,91.86,958700,81.23,0.010672214132273705,79.78142857142858,77.61840000000001
2016-03-02,2016,3,2,Wednesday,09,2016-09,91.99,92.46,91.29,92.27,944000,81.6,0.004463227027158512,79.97714285714285,77.67179999999999
2016-03-03,2016,3,3,Thursday,09,2016-09,92.2,93.41,92.0,93.36,816900,82.56,0.011813211344580132,80.32071428571429,77.76320000000001
2016-03-04,2016,3,4,Friday,09,2016-09,93.05,93.79,92.72,93.18,681200,82.4,-0.0019279538710491595,80.57714285714285,77.8442
2016-03-07,2016,3,7,Monday,10,2016-10,92.52,93.3,92.05,92.44,982700,81.75,-0.007941425425264548,80.74357142857141,77.9024
2016-03-08,2016,3,8,Tuesday,10,2016-10,91.77,92.61,91.69,92.04,897200,81.39,-0.004327146216084987,80.80785714285716,77.9428
2016-03-09,2016,3,9,Wednesday,10,2016-10,92.38,93.22,91.96,92.57,889000,81.86,0.005758264258877155,80.97571428571429,77.9928
2016-03-10,2016,3,10,Thursday,10,2016-10,93.0,93.0,91.79,91.95,734300,81.31,-0.006697826137608054,81.07071428571429,78.03059999999999
2016-03-11,2016,3,11,Friday,10,2016-10,92.19,92.96,92.17,92.72,656500,81.99,0.00837427016469694,81.25714285714285,78.0716
2016-03-14,2016,3,14,Monday,11,2016-11,92.48,92.82,92.07,92.32,562900,81.64,-0.004314079583621178,81.40928571428572,78.1124
2016-03-15,2016,3,15,Tuesday,11,2016-11,92.0,92.74,91.35,92.54,538300,81.83,0.0023830056373501662,81.52714285714285,78.1804
2016-03-16,2016,3,16,Wednesday,11,2016-11,92.42,93.12,91.75,92.79,624300,82.06,0.002701684238475499,81.58142857142856,78.2754
2016-03-17,2016,3,17,Thursday,11,2016-11,93.01,93.26,92.5,92.64,995400,81.92,-0.0016166986711886322,81.70857142857143,78.3732
2016-03-18,2016,3,18,Friday,11,2016-11,92.69,92.79,90.55,90.98,2147500,80.46,-0.01791864917628394,81.71428571428571,78.4408
2016-03-21,2016,3,21,Monday,12,2016-12,90.7,91.19,90.05,90.88,888900,80.37,-0.0010994309870935304,81.65285714285713,78.5422
2016-03-22,2016,3,22,Tuesday,12,2016-12,90.63,90.89,89.29,89.35,1620200,79.01,-0.01683532752140926,81.46785714285716,78.6302
2016-03-23,2016,3,23,Wednesday,12,2016-12,89.35,90.38,89.25,89.92,963700,79.52,0.0063794595095649775,81.25071428571428,78.7402
2016-03-24,2016,3,24,Thursday,12,2016-12,89.4,90.35,89.36,90.07,886100,79.65,0.001668299498329917,81.05428571428571,78.83940000000001
2016-03-28,2016,3,28,Monday,13,2016-13,90.13,91.0,90.12,90.32,872100,79.87,0.0027753892561257487,80.92,78.9678
2016-03-29,2016,3,29,Tuesday,13,2016-13,90.2,91.92,90.15,91.86,1284500,81.23,0.017050512792493366,80.90857142857143,79.10640000000001
2016-03-30,2016,3,30,Wednesday,13,2016-13,92.0,92.04,91.16,91.85,1507100,81.22,-0.00010885232364965525,80.86285714285715,79.26660000000001
2016-03-31,2016,3,31,Thursday,13,2016-13,91.51,92.3,91.39,92.09,1174500,81.44,0.0026130219586271153,80.87214285714286,79.40859999999999
2016-04-01,2016,4,1,Friday,13,2016-13,91.89,93.77,91.81,93.71,1158500,82.87,0.017591719330683597,80.93500000000002,79.57260000000001
2016-04-04,2016,4,4,Monday,14,2016-14,93.81,94.17,92.33,92.5,978900,81.8,-0.012912394888218826,80.94642857142857,79.72099999999999
2016-04-05,2016,4,5,Tuesday,14,2016-14,92.82,92.99,91.08,91.34,1123600,80.77,-0.01254053019520529,80.87071428571429,79.83840000000001
2016-04-06,2016,4,6,Wednesday,14,2016-14,91.38,92.15,90.8,91.86,1019100,81.23,0.005692922412491086,80.81142857142858,79.991
2016-04-07,2016,4,7,Thursday,14,2016-14,91.28,91.57,90.09,91.04,1146600,80.51,-0.008926641892666676,80.71071428571429,80.1062
2016-04-08,2016,4,8,Friday,14,2016-14,91.25,91.82,91.08,91.81,736600,81.19,0.008457975512127236,80.76285714285714,80.24640000000001
2016-04-11,2016,4,11,Monday,15,2016-15,91.95,92.4,91.5,91.6,778800,81.0,-0.0022874252971271103,80.80785714285715,80.33760000000001
2016-04-12,2016,4,12,Tuesday,15,2016-15,91.44,92.42,91.12,92.14,526500,81.48,0.0058952746724996175,80.98428571428572,80.41900000000001
2016-04-13,2016,4,13,Wednesday,15,2016-15,92.2,92.33,91.47,92.1,1117300,81.45,-0.00043427336319068477,81.12214285714286,80.4778
2016-04-14,2016,4,14,Thursday,15,2016-15,92.11,92.75,91.95,92.19,1059100,81.53,0.000977211726053584,81.25642857142859,80.5356
2016-04-15,2016,4,15,Friday,15,2016-15,92.32,93.53,91.82,93.51,1148300,82.69,0.014318290523328336,81.45785714285714,80.62939999999999
2016-04-18,2016,4,18,Monday,16,2016-16,93.44,94.13,92.93,94.04,967200,83.16,0.0056678363022000244,81.59571428571428,80.735
2016-04-19,2016,4,19,Tuesday,16,2016-16,94.13,94.93,93.78,94.56,1429200,83.62,0.005529747518746575,81.76714285714286,80.8664
2016-04-20,2016,4,20,Wednesday,16,2016-16,92.9,93.7,91.21,91.59,2543300,80.99,-0.03140885866415044,81.735,80.90460000000002
2016-04-21,2016,4,21,Thursday,16,2016-16,91.45,91.82,89.78,89.78,2113400,79.39,-0.019761859211388844,81.48642857142856,80.914
2016-04-22,2016,4,22,Friday,16,2016-16,89.88,90.56,89.49,90.55,1296600,80.08,0.008576580364972886,81.36357142857142,80.9384
2016-04-25,2016,4,25,Monday,17,2016-17,90.42,91.98,90.19,91.37,1634200,80.8,0.009055593036824128,81.36571428571429,80.99940000000001
2016-04-26,2016,4,26,Tuesday,17,2016-17,88.16,90.0,87.92,89.6,3052700,79.24,-0.01937188599347517,81.22357142857143,81.008
2016-04-27,2016,4,27,Wednesday,17,2016-17,89.84,91.12,89.39,90.87,2268600,80.36,0.014174383197490092,81.21285714285715,81.02680000000001
2016-04-28,2016,4,28,Thursday,17,2016-17,90.5,92.05,90.22,91.66,1384800,81.06,0.008693683977067934,81.20357142857142,81.0382
2016-04-29,2016,4,29,Friday,17,2016-17,91.74,93.21,91.4,93.11,1820900,82.34,0.01581934272767116,81.29928571428572,81.0948
2016-05-02,2016,5,2,Monday,18,2016-18,93.08,93.85,92.86,93.72,1304800,82.88,0.006551219980910572,81.39928571428571,81.1528
